Type 1	Type 2	#	HP	Attack	Defense	Sp. Atk	Sp. Def	Speed	Total	Generation	Legendary
Bug	Electric	595.5	60.0	62.0	55.0	77.0	55.0	86.5	395.5	5.0	0.0
Bug	Flying	286.2857142857143	63.0	70.14285714285714	61.57142857142857	72.85714285714286	69.07142857142857	82.85714285714286	419.5	2.857142857142857	0.0
Bug	Fighting	214.0	80.0	155.0	95.0	40.0	100.0	80.0	550.0	2.0	0.0
Bug	Fire	636.5	70.0	72.5	60.0	92.5	80.0	80.0	455.0	5.0	0.0
Bug	Poison	199.16666666666666	53.75	68.33333333333333	58.083333333333336	42.5	59.333333333333336	65.91666666666667	347.9166666666667	2.3333333333333335	0.0
Bug	Water	283.0	40.0	30.0	32.0	50.0	52.0	65.0	269.0	3.0	0.0
Bug	Steel	416.0	67.71428571428571	114.71428571428571	112.42857142857143	68.14285714285714	83.28571428571429	63.42857142857143	509.7142857142857	3.5714285714285716	0.0
Bug	Grass	354.8333333333333	55.0	73.83333333333333	76.66666666666667	57.333333333333336	76.66666666666667	44.5	384.0	3.5	0.0
Bug	Ghost	292.0	1.0	90.0	45.0	30.0	30.0	40.0	236.0	3.0	0.0
Bug	Ground	351.5	45.5	62.0	97.5	44.5	57.5	38.0	345.0	3.5	0.0
Bug	Rock	442.6666666666667	46.666666666666664	56.666666666666664	146.66666666666666	36.666666666666664	113.33333333333333	35.0	435.0	4.0	0.0
Dark	Ice	338.0	62.5	107.5	60.0	40.0	80.0	120.0	470.0	3.0	0.0
Dark	Fire	228.66666666666666	65.0	80.0	56.666666666666664	110.0	73.33333333333333	91.66666666666667	476.6666666666667	2.0	0.0
Dark	Flying	520.8	93.2	92.2	73.8	84.2	70.4	80.2	494.0	4.4	0.2
Dark	Steel	624.5	55.0	105.0	85.0	50.0	55.0	65.0	415.0	5.0	0.0
Dark	Dragon	634.0	72.0	85.0	70.0	78.33333333333333	70.0	64.66666666666667	440.0	5.0	0.0
Dark	Psychic	686.5	69.5	73.0	70.5	52.5	60.5	59.0	385.0	6.0	0.0
Dark	Fighting	559.5	57.5	82.5	92.5	40.0	92.5	53.0	418.0	5.0	0.0
Dark	Ghost	302.0	50.0	80.0	100.0	75.0	90.0	35.0	430.0	3.0	0.0
Dragon	Psychic	380.5	80.0	100.0	97.5	135.0	127.5	110.0	650.0	3.0	1.0
Dragon	Flying	332.8333333333333	94.33333333333333	135.66666666666666	97.5	121.66666666666667	94.16666666666667	98.33333333333333	641.6666666666666	2.6666666666666665	0.3333333333333333
Dragon	Ice	646.0	125.0	140.0	93.33333333333333	140.0	93.33333333333333	95.0	686.6666666666666	5.0	1.0
Dragon	Electric	644.0	100.0	150.0	120.0	120.0	100.0	90.0	680.0	5.0	1.0
Dragon	Fire	643.0	100.0	120.0	100.0	150.0	120.0	90.0	680.0	5.0	1.0
Dragon	Ground	499.0	90.0	112.0	88.2	74.2	75.0	82.6	522.0	4.4	0.2
Dragon	Fairy	334.0	75.0	110.0	110.0	110.0	105.0	80.0	590.0	3.0	0.0
